,radius1,texture1,perimeter1,area1,smoothness1,compactness1,concavity1,concave_points1,symmetry1,fractal_dimension1,radius2,texture2,perimeter2,area2,smoothness2,compactness2,concavity2,concave_points2,symmetry2,fractal_dimension2,radius3,texture3,perimeter3,area3,smoothness3,compactness3,concavity3,concave_points3,symmetry3,fractal_dimension3
PC1,0.21890244370000272,0.10372457821570548,0.22753729300562522,0.22099498538593973,0.14258969436023833,0.23928535395300082,0.2584004812487715,0.26085375838574015,0.13816695930364964,0.06436334637177453,0.20597877585525312,0.017428028148950506,0.21132591637549422,0.20286963544140443,0.014531452147837525,0.17039345120745902,0.1535897897397901,0.1834173969641288,0.04249842163303874,0.10256832209557656,0.22799663423247218,0.10446932545719397,0.23663968074164496,0.22487053273420515,0.127952561192859,0.210095880157827,0.22876753281500942,0.2508859712179973,0.12290455637796907,0.13178394287795878
PC2,0.23385713174743084,0.05970608829172984,0.2151813613967716,0.23107671128386573,0.18611302267051938,0.15189161007332502,0.06016536279866123,0.03476750049374742,0.19034877037225081,0.3665754713782563,0.10555215182583441,0.08997968182916999,0.08945723422110378,0.15229262810533778,0.2044304530300319,0.23271589619008082,0.19720728271125662,0.13032155990732988,0.18384799994473727,0.2800920266123859,0.2198663792999106,0.04546729826988913,0.19987842794099994,0.21935185792265313,0.17230435165173633,0.14359317327192536,0.09796411433577658,0.00825723506954509,0.1418833486020378,0.2753394685805814
PC3,0.00853124284039331,0.06454990334677703,0.009314219717503297,0.02869952588753017,0.10429190397861218,0.07409157085491877,0.0027338379765096325,0.02556354060573351,0.04023993630245279,0.022574089700322732,0.2684813873688376,0.37463366510988655,0.26664536726311766,0.21600652839377849,0.30883897944528704,0.15477971780922342,0.1764637429023912,0.22465756736383083,0.288584292456404,0.21150376449688651,0.04750699003918826,0.04229782277848896,0.048546508336262305,0.011902318190666226,0.259797613298976,0.2360756253267003,0.1730573353878312,0.1703440755492878,0.2713126419381741,0.2327913125043081
PC4,0.04140896232986699,0.6030500005433039,0.041983099117243204,0.05343379545813101,0.15938276500645068,0.03179458112506802,0.01912275346579515,0.06533594434061893,0.06712498398233735,0.04858676491253836,0.09794124182013446,0.3598555283463567,0.08899241460171621,0.10820503862604644,0.04466417969775101,0.02746936322380998,0.0013168799657841113,0.07406733499254654,0.04407335099077578,0.01530474956289237,0.015417239622751957,0.6328078847365105,0.01380279439812075,0.02589474916837682,0.017652216084120726,0.0913284153158217,0.07395117965243862,0.006006995711507443,0.03625069470184849,0.07705347034463211
PC5,0.03778635378143881,0.04946885047440633,0.037374663204879394,0.010331251394757584,0.3650885278924238,0.011703971306949862,0.08637541178961637,0.04386102523914156,0.30594142829592513,0.04442436018347697,0.15445649574996687,0.19165050554468574,0.12099022034477237,0.12757443198725693,0.23206567610642168,0.27996815554504445,0.3539820909594411,0.19554808851546665,0.25286876490385485,0.26329743768128866,0.004406592090461712,0.0928834001441337,0.007454150995545496,0.027390903040657503,0.32443544530000695,0.12180410663858116,0.18851872684538978,0.043332068735134795,0.24455866327336753,0.0944233509773277
PC6,0.018740790431431963,0.032178836571955464,0.017308444908624255,0.0018877479598688482,0.286374496612759,0.014130948872770615,0.0093441808887678,0.052049950467284584,0.35645846074188425,0.11943066787075696,0.025603256068015133,0.02874731451434214,0.0018107150039190212,0.04286390794509179,0.3429173934946093,0.06919751855177601,0.05634323858229967,0.031224448158388395,0.49024564258899556,0.053195267427368347,0.00029068491915833466,0.05000806125566294,0.008500987151707485,0.02516438206720022,0.3692553703052766,0.047705792915812104,0.028379255451137016,0.03087344984034903,0.4989267844604526,0.08022352449718408
PC7,0.12408834027879743,0.011399538203626262,0.11447705733003526,0.05165342748458119,0.14066899279681194,0.03091849597534997,0.10752044338191673,0.1504822141813745,0.0938911344684577,0.2957600239812479,0.31249003734473224,0.09075535563787633,0.3146403901616832,0.3466790027837386,0.2440240556021137,0.023463534032515738,0.20882378974906968,0.3696459368547094,0.08038225394202327,0.19139497256636315,0.009709936015046513,0.009870743875487222,0.00044572671669500843,0.06783165947634257,0.10883088645372367,0.14047293807961814,0.06048805607342239,0.16796661874694627,0.018490629844906386,0.37465762605295444
PC8,0.007452296219045358,0.13067482515938164,0.018687258191061863,0.03467360379316803,0.2889745750090006,0.15139634976758318,0.0728272852727435,0.1523224141489127,0.23153098885253684,0.177121441347996,0.022539967369897763,0.47541313926439827,0.011896690471746766,0.0858051345070925,0.5734102315793334,0.11746015658206012,0.060566500831245075,0.10831930935478819,0.22014927893859143,0.01116818843103363,0.04261941628684347,0.03625163600814205,0.030558533978804547,0.07939424562409672,0.20585219050111264,0.0840196587654294,0.07246787139940496,0.036170795421522364,0.22822505343932079,0.04836066662233842
PC9,0.22310976448432074,0.11269939036346845,0.2237392134591687,0.19558601369731687,0.006424721942871189,0.1678414248965605,0.04059100637277315,0.11197110597093636,0.25604008373304415,0.12374078850100075,0.24998500181066857,0.24664539678917877,0.22715402415201297,0.2291600153514969,0.14192488986501658,0.145322809781471,0.35810707934039215,0.27251988641661756,0.3040772000157216,0.21372271621115707,0.11214146271139086,0.10334120435702393,0.10961436375839666,0.08073246087169304,0.11231590379764109,0.100677821841559,0.16190862147241714,0.060488461538130485,0.06463780610877877,0.13417417486931288
PC10,0.09548644321512421,0.24093406602885728,0.08638561504306584,0.07495648863896584,0.0692926813375125,0.012936199951916418,0.1356022979075781,0.00805452775153831,0.5720694789930602,0.0811032072181928,0.04954759406830783,0.28914274219559066,0.11450823563246756,0.09192788855956847,0.16088460886620357,0.043504865831474136,0.14127624339921754,0.08624084698035621,0.3165298298479872,0.36754191843669193,0.07736164277348664,0.029550941287791194,0.050508333526565675,0.06992115227341475,0.12830465893183174,0.17213363163952808,0.31163851969176426,0.07664829103689214,0.02956307513403206,0.01260957912229548
